record_id,timestamp,zone_id,zone_name,zone_lat,zone_lon,demand_class,is_peak_hour,hour_of_day,zone_capacity_mw,current_load_mw,load_pct,status,charger_type,charger_power_kw,masked_vehicle_id,soc_initial_pct,soc_target_pct,recommended_soc_cap_pct,session_duration_min,peak_rate_inr_kwh,offpeak_rate_inr_kwh,tier_triggered,optimization_action,infra_expansion_flag,suggested_nodal_lat,suggested_nodal_lon,ev_load_contribution_kw,feeder_id,anomaly_flag
REC-00011,2026-04-23 03:54:00,Z011,Yelahanka,13.1007,77.5963,low,0,3,25.92,15.281,58.96,GREEN,AC_22kW,22,EV-XXXX-5282,25,85,60,6670.7,11.15,6.91,1,SoC_Cap_60,0,,,13.56,FDR-Z011-03,0
REC-00012,2026-04-26 02:18:00,Z012,Hebbal,13.0358,77.597,low,0,2,29.11,16.672,57.27,GREEN,DC_50kW,50,EV-XXXX-6534,25,97,60,3407.6,13.57,8.41,1,SoC_Cap_60,0,,,35.16,FDR-Z012-02,0
REC-00013,2026-04-20 16:01:00,Z013,Rajajinagar,12.9974,77.556,low,0,16,23.37,12.721,54.43,GREEN,AC_7kW,7,EV-XXXX-5499,33,85,60,18621.9,13.6,8.43,1,SoC_Cap_60,0,,,6.38,FDR-Z013-03,0
REC-00014,2026-04-04 05:39:00,Z014,Malleswaram,13.0035,77.568,low,0,5,16.52,8.326,50.4,GREEN,AC_7kW,7,EV-XXXX-1956,32,71,60,12880.0,11.28,6.99,1,SoC_Cap_60,0,,,6.19,FDR-Z014-01,0
REC-00015,2026-04-16 19:55:00,Z015,Jayanagar,12.925,77.5938,medium,1,19,42.74,38.262,89.52,ORANGE,AC_22kW,22,EV-XXXX-4436,36,83,80,4664.2,12.2,7.56,3,Spatial_Redirect,0,,,21.17,FDR-Z015-03,0
REC-00016,2026-04-30 00:27:00,Z001,HSR Layout,12.9116,77.6389,high,0,0,55.03,46.032,83.65,YELLOW,DC_50kW,50,EV-XXXX-2069,31,81,80,2625.0,13.7,8.49,2,Time_Shift_Incentive,0,,,37.4,FDR-Z001-01,0
REC-00017,2026-04-29 16:45:00,Z002,Koramangala,12.9352,77.6245,high,0,16,59.5,47.382,79.63,YELLOW,DC_50kW,50,EV-XXXX-6854,17,87,80,2998.2,13.45,8.34,2,Time_Shift_Incentive,0,,,48.6,FDR-Z002-02,0
REC-00018,2026-04-15 21:22:00,Z003,Whitefield,12.9698,77.75,high,1,21,47.1,47.1,100.0,RED,DC_50kW,50,EV-XXXX-1537,53,98,98,1632.2,13.34,8.27,4,Infra_Trigger,1,12.9845,77.7665,40.23,FDR-Z003-01,0
REC-00019,2026-04-20 00:07:00,Z004,Electronic City,12.8399,77.677,high,0,0,55.53,44.257,79.7,YELLOW,AC_7kW,7,EV-XXXX-4769,37,91,80,14298.2,12.4,7.69,2,Time_Shift_Incentive,0,,,5.0,FDR-Z004-02,0
REC-00020,2026-04-17 19:41:00,Z005,Indiranagar,12.9784,77.6408,high,1,19,57.34,57.34,100.0,RED,AC_7kW,7,EV-XXXX-1876,19,76,76,12601.4,11.18,6.93,4,Infra_Trigger,1,12.9749,77.6488,4.59,FDR-Z005-01,0
REC-00021,2026-04-10 18:16:00,Z006,Marathahalli,12.9591,77.6974,medium,1,18,36.5,31.467,86.21,ORANGE,AC_7kW,7,EV-XXXX-2081,23,81,80,16200.9,13.7,8.49,3,Spatial_Redirect,0,,,5.44,FDR-Z006-02,0
REC-00022,2026-04-25 07:44:00,Z007,BTM Layout,12.9166,77.6101,medium,0,7,44.32,33.045,74.56,YELLOW,AC_22kW,22,EV-XXXX-8253,26,95,80,5923.1,10.55,6.54,2,Time_Shift_Incentive,0,,,14.22,FDR-Z007-01,0
REC-00023,2026-04-30 13:51:00,Z008,JP Nagar,12.9077,77.586,medium,0,13,30.26,21.659,71.58,YELLOW,AC_22kW,22,EV-XXXX-3849,51,92,80,2796.5,11.41,7.07,2,Time_Shift_Incentive,0,,,13.33,FDR-Z008-03,0
REC-00024,2026-04-01 23:04:00,Z009,Bannerghatta,12.8635,77.5978,medium,0,23,39.24,31.626,80.6,YELLOW,AC_22kW,22,EV-XXXX-3427,34,93,80,6150.0,10.95,6.79,2,Time_Shift_Incentive,0,,,20.34,FDR-Z009-03,0
REC-00025,2026-04-03 00:32:00,Z010,Sarjapur,12.8711,77.7055,medium,0,0,33.1,22.875,69.11,GREEN,AC_7kW,7,EV-XXXX-9967,49,92,60,9396.7,11.85,7.35,1,SoC_Cap_60,0,,,6.11,FDR-Z010-02,0
REC-00026,2026-04-09 06:03:00,Z011,Yelahanka,13.1007,77.5963,low,0,6,29.05,15.653,53.88,GREEN,DC_150kW,150,EV-XXXX-3967,50,79,60,381.6,13.32,8.26,1,SoC_Cap_60,0,,,149.43,FDR-Z011-02,0
REC-00027,2026-04-24 22:31:00,Z012,Hebbal,13.0358,77.597,low,0,22,26.26,13.766,52.42,GREEN,DC_150kW,150,EV-XXXX-5492,34,85,60,656.5,13.63,8.45,1,SoC_Cap_60,0,,,113.35,FDR-Z012-01,0
REC-00028,2026-04-12 08:06:00,Z013,Rajajinagar,12.9974,77.556,low,1,8,22.24,15.452,69.48,GREEN,AC_7kW,7,EV-XXXX-6588,26,94,60,20765.9,13.13,8.14,1,SoC_Cap_60,0,,,6.42,FDR-Z013-01,0
REC-00029,2026-04-21 09:57:00,Z014,Malleswaram,13.0035,77.568,low,1,9,21.62,17.227,79.68,YELLOW,AC_7kW,7,EV-XXXX-3539,26,78,80,17824.9,13.53,8.39,2,Time_Shift_Incentive,0,,,6.55,FDR-Z014-02,0
REC-00030,2026-04-10 08:49:00,Z015,Jayanagar,12.925,77.5938,medium,1,8,32.2,29.72,92.3,ORANGE,DC_50kW,50,EV-XXXX-8494,36,89,80,1842.5,13.95,8.65,3,Spatial_Redirect,0,,,45.07,FDR-Z015-02,0
REC-00031,2026-04-19 11:53:00,Z001,HSR Layout,12.9116,77.6389,high,0,11,55.58,43.481,78.23,YELLOW,AC_22kW,22,EV-XXXX-4072,34,97,80,6891.8,12.88,7.99,2,Time_Shift_Incentive,0,,,15.29,FDR-Z001-01,0
REC-00032,2026-04-17 23:32:00,Z002,Koramangala,12.9352,77.6245,high,0,23,48.35,37.491,77.54,YELLOW,DC_50kW,50,EV-XXXX-7190,35,80,80,2338.3,12.7,7.87,2,Time_Shift_Incentive,0,,,43.91,FDR-Z002-03,0
REC-00033,2026-04-22 21:02:00,Z003,Whitefield,12.9698,77.75,high,1,21,58.52,58.52,100.0,RED,AC_22kW,22,EV-XXXX-7819,42,90,90,3904.4,12.12,7.51,4,Infra_Trigger,1,12.9639,77.7533,13.88,FDR-Z003-01,0
REC-00034,2026-04-27 21:16:00,Z004,Electronic City,12.8399,77.677,high,1,21,49.2,48.312,98.2,RED,AC_7kW,7,EV-XXXX-5804,20,87,87,18807.5,12.65,7.84,4,Infra_Trigger,1,12.8366,77.6943,6.62,FDR-Z004-01,0
REC-00035,2026-04-24 00:53:00,Z005,Indiranagar,12.9784,77.6408,high,0,0,57.16,46.337,81.06,YELLOW,DC_150kW,150,EV-XXXX-2633,41,86,80,748.9,10.63,6.59,2,Time_Shift_Incentive,0,,,98.03,FDR-Z005-01,0
REC-00036,2026-04-06 16:04:00,Z006,Marathahalli,12.9591,77.6974,medium,0,16,44.95,36.392,80.96,YELLOW,DC_50kW,50,EV-XXXX-6997,31,90,80,2369.1,11.38,7.06,2,Time_Shift_Incentive,0,,,35.49,FDR-Z006-02,0
REC-00037,2026-04-08 01:27:00,Z007,BTM Layout,12.9166,77.6101,medium,0,1,30.33,23.561,77.68,YELLOW,AC_22kW,22,EV-XXXX-8901,15,91,80,9187.9,13.27,8.23,2,Time_Shift_Incentive,0,,,18.39,FDR-Z007-03,1
REC-00038,2026-04-15 04:20:00,Z008,JP Nagar,12.9077,77.586,medium,0,4,42.08,33.99,80.77,YELLOW,AC_22kW,22,EV-XXXX-2331,32,99,80,6514.4,12.42,7.7,2,Time_Shift_Incentive,0,,,17.17,FDR-Z008-03,0
REC-00039,2026-04-23 09:50:00,Z009,Bannerghatta,12.8635,77.5978,medium,1,9,41.95,41.95,100.0,RED,AC_7kW,7,EV-XXXX-6569,19,71,71,16507.9,11.65,7.22,4,Infra_Trigger,1,12.8688,77.5874,4.41,FDR-Z009-01,0
REC-00040,2026-04-16 10:53:00,Z010,Sarjapur,12.8711,77.7055,medium,1,10,32.7,32.59,99.66,RED,AC_22kW,22,EV-XXXX-8570,46,87,87,4097.1,13.38,8.3,4,Infra_Trigger,1,12.8649,77.6994,13.48,FDR-Z010-02,0
REC-00041,2026-04-09 11:25:00,Z011,Yelahanka,13.1007,77.5963,low,0,11,19.95,9.992,50.08,GREEN,AC_22kW,22,EV-XXXX-3878,36,84,60,4548.4,11.82,7.33,1,SoC_Cap_60,0,,,13.22,FDR-Z011-01,0
REC-00042,2026-04-03 19:14:00,Z012,Hebbal,13.0358,77.597,low,1,19,18.54,14.952,80.65,YELLOW,DC_50kW,50,EV-XXXX-6126,40,83,80,1398.5,12.91,8.0,2,Time_Shift_Incentive,0,,,46.89,FDR-Z012-03,0
REC-00043,2026-04-13 17:57:00,Z013,Rajajinagar,12.9974,77.556,low,1,17,16.57,12.382,74.73,YELLOW,AC_22kW,22,EV-XXXX-1125,31,76,80,3175.4,10.92,6.77,2,Time_Shift_Incentive,0,,,21.04,FDR-Z013-01,0
REC-00044,2026-04-03 08:44:00,Z014,Malleswaram,13.0035,77.568,low,1,8,26.05,20.449,78.5,YELLOW,AC_22kW,22,EV-XXXX-2761,51,75,80,2807.5,11.36,7.04,2,Time_Shift_Incentive,0,,,17.58,FDR-Z014-02,0
REC-00045,2026-04-01 20:21:00,Z015,Jayanagar,12.925,77.5938,medium,1,20,35.48,33.234,93.67,ORANGE,DC_50kW,50,EV-XXXX-9434,38,92,80,2701.4,10.56,6.55,3,Spatial_Redirect,0,,,43.94,FDR-Z015-03,0
REC-00046,2026-04-20 10:03:00,Z001,HSR Layout,12.9116,77.6389,high,1,10,45.08,45.08,100.0,RED,DC_50kW,50,EV-XXXX-7316,25,77,77,2122.2,13.19,8.18,4,Infra_Trigger,1,12.8991,77.6318,38.51,FDR-Z001-01,0
REC-00047,2026-04-12 14:00:00,Z002,Koramangala,12.9352,77.6245,high,0,14,54.16,43.583,80.47,YELLOW,AC_22kW,22,EV-XXXX-1009,47,75,80,2372.5,12.42,7.7,2,Time_Shift_Incentive,0,,,18.03,FDR-Z002-02,0
REC-00048,2026-04-02 19:00:00,Z003,Whitefield,12.9698,77.75,high,1,19,47.08,47.08,100.0,RED,DC_50kW,50,EV-XXXX-1235,45,86,86,2059.8,11.93,7.4,4,Infra_Trigger,1,12.9871,77.7696,34.1,FDR-Z003-03,0
REC-00049,2026-04-08 21:59:00,Z004,Electronic City,12.8399,77.677,high,1,21,57.63,56.272,97.64,RED,AC_7kW,7,EV-XXXX-8577,19,88,88,22456.0,13.68,8.48,4,Infra_Trigger,1,12.8325,77.6805,6.11,FDR-Z004-03,0
REC-00050,2026-04-19 05:32:00,Z005,Indiranagar,12.9784,77.6408,high,0,5,56.21,46.452,82.64,YELLOW,AC_22kW,22,EV-XXXX-2970,54,77,80,2327.7,12.01,7.45,2,Time_Shift_Incentive,0,,,16.13,FDR-Z005-03,0
REC-00051,2026-04-20 14:46:00,Z006,Marathahalli,12.9591,77.6974,medium,0,14,38.0,25.981,68.37,GREEN,AC_22kW,22,EV-XXXX-6373,51,96,60,4862.8,11.22,6.96,1,SoC_Cap_60,0,,,19.48,FDR-Z006-01,0
REC-00052,2026-04-01 21:37:00,Z007,BTM Layout,12.9166,77.6101,medium,1,21,35.68,34.465,96.6,RED,AC_22kW,22,EV-XXXX-4756,43,84,84,3643.9,13.02,8.07,4,Infra_Trigger,1,12.9222,77.6179,17.98,FDR-Z007-03,0
REC-00053,2026-04-20 10:09:00,Z008,JP Nagar,12.9077,77.586,medium,1,10,33.41,31.291,93.66,ORANGE,DC_150kW,150,EV-XXXX-8790,54,99,80,470.1,13.04,8.08,3,Spatial_Redirect,0,,,125.58,FDR-Z008-01,0
REC-00054,2026-04-08 09:48:00,Z009,Bannerghatta,12.8635,77.5978,medium,1,9,39.1,39.1,100.0,RED,DC_150kW,150,EV-XXXX-4476,37,70,70,348.2,11.08,6.87,4,Infra_Trigger,1,12.851,77.6113,109.93,FDR-Z009-02,0
REC-00055,2026-04-08 14:20:00,Z010,Sarjapur,12.8711,77.7055,medium,0,14,41.16,31.116,75.6,YELLOW,AC_7kW,7,EV-XXXX-9577,39,95,80,20792.1,12.13,7.52,2,Time_Shift_Incentive,0,,,5.55,FDR-Z010-03,0
REC-00056,2026-04-11 11:58:00,Z011,Yelahanka,13.1007,77.5963,low,0,11,22.48,14.327,63.73,GREEN,AC_22kW,22,EV-XXXX-6588,36,95,60,3906.1,12.3,7.63,1,SoC_Cap_60,0,,,21.78,FDR-Z011-01,0
REC-00057,2026-04-22 21:27:00,Z012,Hebbal,13.0358,77.597,low,1,21,19.49,13.985,71.76,YELLOW,AC_22kW,22,EV-XXXX-5524,33,99,80,5095.4,11.82,7.33,2,Time_Shift_Incentive,0,,,20.56,FDR-Z012-03,0
REC-00058,2026-04-14 18:46:00,Z013,Rajajinagar,12.9974,77.556,low,1,18,22.22,17.876,80.45,YELLOW,AC_7kW,7,EV-XXXX-5873,22,98,80,16667.2,11.45,7.1,2,Time_Shift_Incentive,0,,,6.0,FDR-Z013-01,1
REC-00059,2026-04-28 17:06:00,Z014,Malleswaram,13.0035,77.568,low,1,17,18.33,13.741,74.97,YELLOW,AC_7kW,7,EV-XXXX-4675,51,72,80,7674.6,11.33,7.02,2,Time_Shift_Incentive,0,,,4.48,FDR-Z014-02,0
REC-00060,2026-04-14 10:15:00,Z015,Jayanagar,12.925,77.5938,medium,1,10,40.02,39.315,98.24,RED,AC_7kW,7,EV-XXXX-5242,21,70,70,11913.6,10.93,6.78,4,Infra_Trigger,1,12.9401,77.5995,6.17,FDR-Z015-01,0
REC-00061,2026-04-20 10:41:00,Z001,HSR Layout,12.9116,77.6389,high,1,10,57.38,57.38,100.0,RED,DC_50kW,50,EV-XXXX-6986,23,71,71,2423.9,13.82,8.57,4,Infra_Trigger,1,12.9221,77.6245,47.37,FDR-Z001-03,0
REC-00062,2026-04-17 17:50:00,Z002,Koramangala,12.9352,77.6245,high,1,17,52.69,52.69,100.0,RED,AC_22kW,22,EV-XXXX-9996,18,95,95,7358.3,10.56,6.55,4,Infra_Trigger,1,12.9518,77.6092,18.27,FDR-Z002-02,0
REC-00063,2026-04-05 05:57:00,Z003,Whitefield,12.9698,77.75,high,0,5,55.8,43.291,77.58,YELLOW,DC_50kW,50,EV-XXXX-9646,48,81,80,1476.9,12.51,7.76,2,Time_Shift_Incentive,0,,,46.76,FDR-Z003-01,0
REC-00064,2026-04-26 13:01:00,Z004,Electronic City,12.8399,77.677,high,0,13,47.49,37.489,78.94,YELLOW,AC_22kW,22,EV-XXXX-9378,54,80,80,2231.4,11.54,7.15,2,Time_Shift_Incentive,0,,,18.18,FDR-Z004-02,0
REC-00065,2026-04-24 21:21:00,Z005,Indiranagar,12.9784,77.6408,high,1,21,55.99,55.99,100.0,RED,AC_7kW,7,EV-XXXX-2524,48,78,78,10334.4,11.71,7.26,4,Infra_Trigger,1,12.9725,77.6373,6.17,FDR-Z005-02,0
REC-00066,2026-04-03 02:49:00,Z006,Marathahalli,12.9591,77.6974,medium,0,2,40.42,28.588,70.73,YELLOW,AC_7kW,7,EV-XXXX-8982,31,79,80,15840.7,10.8,6.7,2,Time_Shift_Incentive,0,,,6.88,FDR-Z006-03,0
REC-00067,2026-04-21 16:22:00,Z007,BTM Layout,12.9166,77.6101,medium,0,16,39.56,30.407,76.86,YELLOW,DC_50kW,50,EV-XXXX-5806,40,84,80,1316.2,14.0,8.68,2,Time_Shift_Incentive,0,,,41.12,FDR-Z007-02,0
REC-00068,2026-04-14 14:52:00,Z008,JP Nagar,12.9077,77.586,medium,0,14,32.89,25.271,76.83,YELLOW,DC_50kW,50,EV-XXXX-4561,53,72,80,700.0,12.76,7.91,2,Time_Shift_Incentive,0,,,43.0,FDR-Z008-03,0
REC-00069,2026-04-13 01:02:00,Z009,Bannerghatta,12.8635,77.5978,medium,0,1,35.1,23.647,67.37,GREEN,AC_22kW,22,EV-XXXX-9684,43,91,60,4018.1,12.66,7.85,1,SoC_Cap_60,0,,,15.25,FDR-Z009-03,0
REC-00070,2026-04-02 22:12:00,Z010,Sarjapur,12.8711,77.7055,medium,0,22,44.09,32.01,72.6,YELLOW,DC_50kW,50,EV-XXXX-1271,43,99,80,2290.0,13.56,8.41,2,Time_Shift_Incentive,0,,,49.68,FDR-Z010-02,0
REC-00071,2026-04-07 19:04:00,Z011,Yelahanka,13.1007,77.5963,low,1,19,22.01,17.355,78.85,YELLOW,DC_50kW,50,EV-XXXX-9173,51,94,80,1538.8,10.66,6.61,2,Time_Shift_Incentive,0,,,32.19,FDR-Z011-01,0
REC-00072,2026-04-12 04:36:00,Z012,Hebbal,13.0358,77.597,low,0,4,28.19,16.689,59.2,GREEN,AC_22kW,22,EV-XXXX-6690,39,76,60,4522.2,11.91,7.38,1,SoC_Cap_60,0,,,20.57,FDR-Z012-02,0
REC-00073,2026-04-13 13:09:00,Z013,Rajajinagar,12.9974,77.556,low,0,13,15.55,10.108,65.01,GREEN,DC_50kW,50,EV-XXXX-2913,37,86,60,2051.1,12.34,7.65,1,SoC_Cap_60,0,,,35.2,FDR-Z013-03,0
REC-00074,2026-04-30 16:23:00,Z014,Malleswaram,13.0035,77.568,low,0,16,24.34,12.486,51.3,GREEN,DC_50kW,50,EV-XXXX-8490,51,71,60,806.5,11.46,7.11,1,SoC_Cap_60,0,,,39.53,FDR-Z014-03,0
REC-00075,2026-04-12 09:08:00,Z015,Jayanagar,12.925,77.5938,medium,1,9,43.97,38.59,87.76,ORANGE,AC_7kW,7,EV-XXXX-9228,19,85,80,19468.1,11.27,6.99,3,Spatial_Redirect,0,,,6.11,FDR-Z015-01,0
REC-00076,2026-04-18 07:44:00,Z001,HSR Layout,12.9116,77.6389,high,0,7,52.21,44.163,84.59,YELLOW,AC_22kW,22,EV-XXXX-3383,47,75,80,2668.6,12.8,7.94,2,Time_Shift_Incentive,0,,,20.69,FDR-Z001-03,0
REC-00077,2026-04-13 10:44:00,Z002,Koramangala,12.9352,77.6245,high,1,10,55.46,55.46,100.0,RED,DC_50kW,50,EV-XXXX-3719,45,92,92,1359.7,11.67,7.24,4,Infra_Trigger,1,12.9449,77.6109,46.36,FDR-Z002-02,0
REC-00078,2026-04-12 06:01:00,Z003,Whitefield,12.9698,77.75,high,0,6,49.31,39.111,79.32,YELLOW,AC_22kW,22,EV-XXXX-6445,38,82,80,4845.2,11.49,7.12,2,Time_Shift_Incentive,0,,,13.36,FDR-Z003-01,0
REC-00079,2026-04-28 14:29:00,Z004,Electronic City,12.8399,77.677,high,0,14,56.31,51.248,91.01,ORANGE,AC_7kW,7,EV-XXXX-3752,26,91,80,21661.7,10.7,6.63,3,Spatial_Redirect,0,,,4.41,FDR-Z004-02,0
REC-00080,2026-04-15 11:35:00,Z005,Indiranagar,12.9784,77.6408,high,0,11,54.71,46.762,85.47,ORANGE,AC_22kW,22,EV-XXXX-4356,46,88,80,3356.5,13.81,8.56,3,Spatial_Redirect,0,,,14.1,FDR-Z005-01,0
REC-00081,2026-04-23 10:51:00,Z006,Marathahalli,12.9591,77.6974,medium,1,10,41.59,39.66,95.36,RED,DC_150kW,150,EV-XXXX-5179,42,98,98,981.5,11.89,7.37,4,Infra_Trigger,1,12.9501,77.7168,114.56,FDR-Z006-02,0
REC-00082,2026-04-29 02:48:00,Z007,BTM Layout,12.9166,77.6101,medium,0,2,35.53,28.373,79.86,YELLOW,AC_7kW,7,EV-XXXX-9782,31,98,80,23148.6,12.09,7.5,2,Time_Shift_Incentive,0,,,5.68,FDR-Z007-03,0
REC-00083,2026-04-12 20:23:00,Z008,JP Nagar,12.9077,77.586,medium,1,20,39.25,34.775,88.6,ORANGE,AC_7kW,7,EV-XXXX-8099,34,73,80,11942.9,10.72,6.65,3,Spatial_Redirect,0,,,5.83,FDR-Z008-01,0
REC-00084,2026-04-08 10:12:00,Z009,Bannerghatta,12.8635,77.5978,medium,1,10,36.97,36.97,100.0,RED,DC_50kW,50,EV-XXXX-3043,25,82,82,2729.0,13.23,8.2,4,Infra_Trigger,1,12.8451,77.597,32.1,FDR-Z009-01,0
REC-00085,2026-04-14 14:15:00,Z010,Sarjapur,12.8711,77.7055,medium,0,14,33.16,26.839,80.94,YELLOW,AC_7kW,7,EV-XXXX-2949,47,70,80,8385.1,10.62,6.58,2,Time_Shift_Incentive,0,,,4.42,FDR-Z010-02,0
REC-00086,2026-04-06 06:25:00,Z011,Yelahanka,13.1007,77.5963,low,0,6,18.0,8.912,49.51,GREEN,AC_22kW,22,EV-XXXX-7917,17,96,60,5313.8,12.66,7.85,1,SoC_Cap_60,0,,,18.59,FDR-Z011-01,0
REC-00087,2026-04-08 07:49:00,Z012,Hebbal,13.0358,77.597,low,0,7,24.18,14.507,60.0,GREEN,AC_22kW,22,EV-XXXX-1894,20,95,60,8276.0,12.75,7.91,1,SoC_Cap_60,0,,,17.83,FDR-Z012-02,0
REC-00088,2026-04-18 21:11:00,Z013,Rajajinagar,12.9974,77.556,low,1,21,28.08,22.366,79.65,YELLOW,AC_22kW,22,EV-XXXX-5790,22,98,80,8411.9,10.65,6.6,2,Time_Shift_Incentive,0,,,14.62,FDR-Z013-02,0
REC-00089,2026-04-22 04:31:00,Z014,Malleswaram,13.0035,77.568,low,0,4,16.22,8.523,52.55,GREEN,AC_22kW,22,EV-XXXX-8005,29,70,60,4657.2,13.86,8.59,1,SoC_Cap_60,0,,,16.86,FDR-Z014-01,0
REC-00090,2026-04-12 19:59:00,Z015,Jayanagar,12.925,77.5938,medium,1,19,43.01,42.014,97.68,RED,AC_22kW,22,EV-XXXX-2394,16,84,84,7958.7,11.49,7.12,4,Infra_Trigger,1,12.9194,77.5892,17.3,FDR-Z015-01,0
REC-00091,2026-04-03 07:35:00,Z001,HSR Layout,12.9116,77.6389,high,0,7,58.64,46.767,79.75,YELLOW,DC_50kW,50,EV-XXXX-4155,28,93,80,2821.1,12.58,7.8,2,Time_Shift_Incentive,0,,,33.27,FDR-Z001-03,0
REC-00092,2026-04-28 01:34:00,Z002,Koramangala,12.9352,77.6245,high,0,1,54.85,48.362,88.17,ORANGE,AC_22kW,22,EV-XXXX-1269,25,79,80,3761.9,11.66,7.23,3,Spatial_Redirect,0,,,17.15,FDR-Z002-02,0
REC-00093,2026-04-05 19:07:00,Z003,Whitefield,12.9698,77.75,high,1,19,54.26,51.602,95.1,RED,DC_50kW,50,EV-XXXX-4568,51,81,81,1222.8,12.97,8.04,4,Infra_Trigger,1,12.9677,77.7646,41.16,FDR-Z003-03,0
REC-00094,2026-04-18 13:01:00,Z004,Electronic City,12.8399,77.677,high,0,13,46.84,36.908,78.8,YELLOW,AC_7kW,7,EV-XXXX-2229,19,70,80,15147.8,12.91,8.0,2,Time_Shift_Incentive,0,,,5.31,FDR-Z004-02,0
REC-00095,2026-04-11 01:24:00,Z005,Indiranagar,12.9784,77.6408,high,0,1,54.59,44.982,82.4,YELLOW,DC_50kW,50,EV-XXXX-2969,34,92,80,1714.2,11.21,6.95,2,Time_Shift_Incentive,0,,,43.47,FDR-Z005-02,0
REC-00096,2026-04-23 07:28:00,Z006,Marathahalli,12.9591,77.6974,medium,0,7,43.02,33.931,78.87,YELLOW,DC_150kW,150,EV-XXXX-8705,24,99,80,1033.2,13.54,8.39,2,Time_Shift_Incentive,0,,,124.24,FDR-Z006-03,0
REC-00097,2026-04-14 03:32:00,Z007,BTM Layout,12.9166,77.6101,medium,0,3,44.11,32.893,74.57,YELLOW,AC_22kW,22,EV-XXXX-1574,16,87,80,7107.2,13.92,8.63,2,Time_Shift_Incentive,0,,,16.78,FDR-Z007-01,0
REC-00098,2026-04-13 08:10:00,Z008,JP Nagar,12.9077,77.586,medium,1,8,36.06,36.06,100.0,RED,DC_50kW,50,EV-XXXX-4712,37,88,88,2585.5,10.92,6.77,4,Infra_Trigger,1,12.9095,77.5662,36.49,FDR-Z008-02,0
REC-00099,2026-04-21 18:59:00,Z009,Bannerghatta,12.8635,77.5978,medium,1,18,38.95,33.653,86.4,ORANGE,AC_22kW,22,EV-XXXX-3989,22,83,80,6237.7,12.25,7.59,3,Spatial_Redirect,0,,,17.97,FDR-Z009-02,0
